statement,line_key,line_name,period,amount,source_accounts,questions_notes
BS,BS_PPE,PP&E,2023-04,3566862.500000,fixed_assets,
BS,BS_PPE,PP&E,2023-05,3573953.680000,fixed_assets,
BS,BS_PPE,PP&E,2023-06,3581044.860000,fixed_assets,
BS,BS_PPE,PP&E,2023-07,3588136.030000,fixed_assets,
BS,BS_PPE,PP&E,2023-08,3595227.210000,fixed_assets,
BS,BS_PPE,PP&E,2023-09,3602318.390000,fixed_assets,
BS,BS_PPE,PP&E,2023-10,3609409.570000,fixed_assets,
BS,BS_PPE,PP&E,2023-11,3616500.750000,fixed_assets,
BS,BS_PPE,PP&E,2023-12,3623591.920000,fixed_assets,
BS,BS_PPE,PP&E,2024-01,3630683.100000,fixed_assets,
BS,BS_PPE,PP&E,2024-02,3637774.280000,fixed_assets,
BS,BS_PPE,PP&E,2024-03,3644865.460000,fixed_assets,
BS,BS_PPE,PP&E,2024-04,3651956.630000,fixed_assets,
BS,BS_PPE,PP&E,2024-05,3659047.810000,fixed_assets,
BS,BS_PPE,PP&E,2024-06,3666138.990000,fixed_assets,
BS,BS_PPE,PP&E,2024-07,3673230.170000,fixed_assets,
BS,BS_PPE,PP&E,2024-08,3680321.350000,fixed_assets,
BS,BS_PPE,PP&E,2024-09,3687412.520000,fixed_assets,
BS,BS_PPE,PP&E,2024-10,3694503.700000,fixed_assets,
BS,BS_PPE,PP&E,2024-11,3701594.880000,fixed_assets,
BS,BS_PPE,PP&E,2024-12,3708686.060000,fixed_assets,
BS,BS_PPE,PP&E,2025-01,3715777.240000,fixed_assets,
BS,BS_PPE,PP&E,2025-02,3722868.410000,fixed_assets,
BS,BS_PPE,PP&E,2025-03,3729959.590000,fixed_assets,
BS,BS_PPE,PP&E,2025-04,3737050.770000,fixed_assets,
BS,BS_PPE,PP&E,2025-05,3744141.950000,fixed_assets,
BS,BS_PPE,PP&E,2025-06,3751233.130000,fixed_assets,
BS,BS_PPE,PP&E,2025-07,3758324.300000,fixed_assets,
BS,BS_PPE,PP&E,2025-08,3765415.480000,fixed_assets,
BS,BS_PPE,PP&E,2025-09,3772506.660000,fixed_assets,
BS,BS_PPE,PP&E,2025-10,3779597.840000,fixed_assets,
BS,BS_PPE,PP&E,2025-11,3786689.020000,fixed_assets,
BS,BS_PPE,PP&E,2025-12,3793780.190000,fixed_assets,
BS,BS_OTA,Other assets,2023-01,-29546.570000,accum_depr,
BS,BS_OTA,Other assets,2023-02,-59211.340000,accum_depr,
BS,BS_OTA,Other assets,2023-03,-88994.280000,accum_depr,
BS,BS_OTA,Other assets,2023-04,-118895.420000,accum_depr,
BS,BS_OTA,Other assets,2023-05,-148914.740000,accum_depr,
BS,BS_OTA,Other assets,2023-06,-179052.240000,accum_depr,
BS,BS_OTA,Other assets,2023-07,-209307.940000,accum_depr,
BS,BS_OTA,Other assets,2023-08,-239681.810000,accum_depr,
BS,BS_OTA,Other assets,2023-09,-270173.880000,accum_depr,
BS,BS_OTA,Other assets,2023-10,-300784.130000,accum_depr,
BS,BS_OTA,Other assets,2023-11,-331512.570000,accum_depr,
BS,BS_OTA,Other assets,2023-12,-362359.190000,accum_depr,
BS,BS_OTA,Other assets,2024-01,-393324.000000,accum_depr,
BS,BS_OTA,Other assets,2024-02,-424407.000000,accum_depr,
BS,BS_OTA,Other assets,2024-03,-455608.180000,accum_depr,
BS,BS_OTA,Other assets,2024-04,-486927.550000,accum_depr,
BS,BS_OTA,Other assets,2024-05,-518365.110000,accum_depr,
BS,BS_OTA,Other assets,2024-06,-549920.850000,accum_depr,
BS,BS_OTA,Other assets,2024-07,-581594.780000,accum_depr,
BS,BS_OTA,Other assets,2024-08,-613386.890000,accum_depr,
BS,BS_OTA,Other assets,2024-09,-645297.190000,accum_depr,
BS,BS_OTA,Other assets,2024-10,-677325.680000,accum_depr,
BS,BS_OTA,Other assets,2024-11,-709472.350000,accum_depr,
BS,BS_OTA,Other assets,2024-12,-741737.210000,accum_depr,
BS,BS_OTA,Other assets,2025-01,-774120.260000,accum_depr,
BS,BS_OTA,Other assets,2025-02,-806621.490000,accum_depr,
BS,BS_OTA,Other assets,2025-03,-839240.910000,accum_depr,
BS,BS_OTA,Other assets,2025-04,-871978.510000,accum_depr,
BS,BS_OTA,Other assets,2025-05,-904834.300000,accum_depr,
BS,BS_OTA,Other assets,2025-06,-937808.280000,accum_depr,
BS,BS_OTA,Other assets,2025-07,-970900.450000,accum_depr,
BS,BS_OTA,Other assets,2025-08,-1004110.800000,accum_depr,
BS,BS_OTA,Other assets,2025-09,-1037439.330000,accum_depr,
BS,BS_OTA,Other assets,2025-10,-1070886.050000,accum_depr,
BS,BS_OTA,Other assets,2025-11,-1104450.960000,accum_depr,
BS,BS_OTA,Other assets,2025-12,-1138134.060000,accum_depr,
BS,BS_AP,Accounts payable,2023-01,-1199684.440000,2000,
BS,BS_AP,Accounts payable,2023-02,-969874.090000,2000,
BS,BS_AP,Accounts payable,2023-03,-1260054.620000,2000,
BS,BS_AP,Accounts payable,2023-04,-1396978.150000,2000,
BS,BS_AP,Accounts payable,2023-05,-981917.020000,2000,
BS,BS_AP,Accounts payable,2023-06,-1272998.630000,2000,
BS,BS_AP,Accounts payable,2023-07,-1393755.670000,2000,
BS,BS_AP,Accounts payable,2023-08,-1161444.310000,2000,
BS,BS_AP,Accounts payable,2023-09,-1447000.180000,2000,
BS,BS_AP,Accounts payable,2023-10,-1266457.030000,2000,
BS,BS_AP,Accounts payable,2023-11,-1558302.820000,2000,
BS,BS_AP,Accounts payable,2023-12,-1314206.080000,2000,
BS,BS_AP,Accounts payable,2024-01,-1069702.580000,2000,
BS,BS_AP,Accounts payable,2024-02,-1162667.790000,2000,
BS,BS_AP,Accounts payable,2024-03,-1296965.800000,2000,
BS,BS_AP,Accounts payable,2024-04,-1343950.420000,2000,
BS,BS_AP,Accounts payable,2024-05,-1433616.090000,2000,
BS,BS_AP,Accounts payable,2024-06,-1235684.480000,2000,
BS,BS_AP,Accounts payable,2024-07,-1470277.100000,2000,
BS,BS_AP,Accounts payable,2024-08,-1372970.770000,2000,
BS,BS_AP,Accounts payable,2024-09,-1263552.720000,2000,
BS,BS_AP,Accounts payable,2024-10,-1910211.460000,2000,
BS,BS_AP,Accounts payable,2024-11,-1941469.100000,2000,
BS,BS_AP,Accounts payable,2024-12,-1777387.920000,2000,
BS,BS_AP,Accounts payable,2025-01,-1386629.230000,2000,
BS,BS_AP,Accounts payable,2025-02,-1728933.390000,2000,
BS,BS_AP,Accounts payable,2025-03,-1726212.900000,2000,
BS,BS_AP,Accounts payable,2025-04,-1756838.660000,2000,
BS,BS_AP,Accounts payable,2025-05,-1559288.650000,2000,
BS,BS_AP,Accounts payable,2025-06,-1821809.810000,2000,
BS,BS_AP,Accounts payable,2025-07,-1843379.540000,2000,
BS,BS_AP,Accounts payable,2025-08,-1669435.170000,2000,
BS,BS_AP,Accounts payable,2025-09,-1440544.080000,2000,
BS,BS_AP,Accounts payable,2025-10,-1812600.980000,2000,
BS,BS_AP,Accounts payable,2025-11,-2188454.980000,2000,
BS,BS_AP,Accounts payable,2025-12,-2303660.400000,2000,
BS,BS_ACCR,Accrued liabilities,2023-01,-61535.560000,accrued,
BS,BS_ACCR,Accrued liabilities,2023-02,-59335.580000,accrued,
BS,BS_ACCR,Accrued liabilities,2023-03,-62476.710000,accrued,
BS,BS_ACCR,Accrued liabilities,2023-04,-64135.290000,accrued,
BS,BS_ACCR,Accrued liabilities,2023-05,-61218.100000,accrued,
BS,BS_ACCR,Accrued liabilities,2023-06,-69313.610000,accrued,
BS,BS_ACCR,Accrued liabilities,2023-07,-66244.650000,accrued,
BS,BS_ACCR,Accrued liabilities,2023-08,-64079.630000,accrued,
BS,BS_ACCR,Accrued liabilities,2023-09,-68146.100000,accrued,
BS,BS_ACCR,Accrued liabilities,2023-10,-73483.370000,accrued,
BS,BS_ACCR,Accrued liabilities,2023-11,-72481.850000,accrued,
BS,BS_ACCR,Accrued liabilities,2023-12,-78883.870000,accrued,
BS,BS_ACCR,Accrued liabilities,2024-01,-64316.980000,accrued,
BS,BS_ACCR,Accrued liabilities,2024-02,-63437.260000,accrued,
BS,BS_ACCR,Accrued liabilities,2024-03,-67249.380000,accrued,
BS,BS_ACCR,Accrued liabilities,2024-04,-71553.120000,accrued,
BS,BS_ACCR,Accrued liabilities,2024-05,-69066.280000,accrued,
BS,BS_ACCR,Accrued liabilities,2024-06,-74810.820000,accrued,
BS,BS_ACCR,Accrued liabilities,2024-07,-77432.010000,accrued,
BS,BS_ACCR,Accrued liabilities,2024-08,-77493.680000,accrued,
BS,BS_ACCR,Accrued liabilities,2024-09,-77318.790000,accrued,
BS,BS_ACCR,Accrued liabilities,2024-10,-88594.570000,accrued,
BS,BS_ACCR,Accrued liabilities,2024-11,-89099.410000,accrued,
BS,BS_ACCR,Accrued liabilities,2024-12,-82815.880000,accrued,
BS,BS_ACCR,Accrued liabilities,2025-01,-80988.410000,accrued,
BS,BS_ACCR,Accrued liabilities,2025-02,-80062.970000,accrued,
BS,BS_ACCR,Accrued liabilities,2025-03,-80593.410000,accrued,
BS,BS_ACCR,Accrued liabilities,2025-04,-83994.170000,accrued,
BS,BS_ACCR,Accrued liabilities,2025-05,-83410.480000,accrued,
BS,BS_ACCR,Accrued liabilities,2025-06,-94975.880000,accrued,
BS,BS_ACCR,Accrued liabilities,2025-07,-88094.810000,accrued,
BS,BS_ACCR,Accrued liabilities,2025-08,-90020.060000,accrued,
BS,BS_ACCR,Accrued liabilities,2025-09,-89751.730000,accrued,
BS,BS_ACCR,Accrued liabilities,2025-10,-106774.640000,accrued,
BS,BS_ACCR,Accrued liabilities,2025-11,-104488.560000,accrued,
BS,BS_ACCR,Accrued liabilities,2025-12,-110143.580000,accrued,
BS,BS_OL,Other liabilities,2023-01,-102559.260000,deferred,
BS,BS_OL,Other liabilities,2023-02,-98892.640000,deferred,
BS,BS_OL,Other liabilities,2023-03,-104127.850000,deferred,
BS,BS_OL,Other liabilities,2023-04,-106892.150000,deferred,
BS,BS_OL,Other liabilities,2023-05,-102030.160000,deferred,
BS,BS_OL,Other liabilities,2023-06,-115522.680000,deferred,
BS,BS_OL,Other liabilities,2023-07,-110407.760000,deferred,
BS,BS_OL,Other liabilities,2023-08,-106799.380000,deferred,
BS,BS_OL,Other liabilities,2023-09,-113576.840000,deferred,
BS,BS_OL,Other liabilities,2023-10,-122472.290000,deferred,
BS,BS_OL,Other liabilities,2023-11,-120803.090000,deferred,
BS,BS_OL,Other liabilities,2023-12,-131473.110000,deferred,
BS,BS_OL,Other liabilities,2024-01,-107194.960000,deferred,
BS,BS_OL,Other liabilities,2024-02,-105728.770000,deferred,
BS,BS_OL,Other liabilities,2024-03,-112082.290000,deferred,
BS,BS_OL,Other liabilities,2024-04,-119255.190000,deferred,
BS,BS_OL,Other liabilities,2024-05,-115110.470000,deferred,
BS,BS_OL,Other liabilities,2024-06,-124684.700000,deferred,
BS,BS_OL,Other liabilities,2024-07,-129053.350000,deferred,
BS,BS_OL,Other liabilities,2024-08,-129156.130000,deferred,
BS,BS_OL,Other liabilities,2024-09,-128864.650000,deferred,
BS,BS_OL,Other liabilities,2024-10,-147657.610000,deferred,
BS,BS_OL,Other liabilities,2024-11,-148499.020000,deferred,
BS,BS_OL,Other liabilities,2024-12,-138026.460000,deferred,
BS,BS_OL,Other liabilities,2025-01,-134980.690000,deferred,
BS,BS_OL,Other liabilities,2025-02,-133438.280000,deferred,
BS,BS_OL,Other liabilities,2025-03,-134322.350000,deferred,
BS,BS_OL,Other liabilities,2025-04,-139990.290000,deferred,
BS,BS_OL,Other liabilities,2025-05,-139017.460000,deferred,
BS,BS_OL,Other liabilities,2025-06,-158293.140000,deferred,
BS,BS_OL,Other liabilities,2025-07,-146824.690000,deferred,
BS,BS_OL,Other liabilities,2025-08,-150033.430000,deferred,
BS,BS_OL,Other liabilities,2025-09,-149586.210000,deferred,
BS,BS_OL,Other liabilities,2025-10,-177957.740000,deferred,
BS,BS_OL,Other liabilities,2025-11,-174147.590000,deferred,
BS,BS_OL,Other liabilities,2025-12,-183572.630000,deferred,
BS,BS_DEBT,Debt,2023-01,-3516436.420000,2500,
BS,BS_DEBT,Debt,2023-02,-3769315.710000,2500,
BS,BS_DEBT,Debt,2023-03,-2546960.810000,2500,
BS,BS_DEBT,Debt,2023-04,-2151689.820000,2500,
BS,BS_DEBT,Debt,2023-05,-2575433.880000,2500,
BS,BS_DEBT,Debt,2023-06,-2045961.550000,2500,
BS,BS_DEBT,Debt,2023-07,-1024318.040000,2500,
BS,BS_DEBT,Debt,2023-08,-552061.750000,2500,
BS,BS_DEBT,Debt,2023-09,-681586.800000,2500,
BS,BS_DEBT,Debt,2023-10,-263941.470000,2500,
BS,BS_EQ,Equity,2023-01,-1577741.730000,3000;3200,
BS,BS_EQ,Equity,2023-02,-1959467.320000,3000;3200,
BS,BS_EQ,Equity,2023-03,-2361400.810000,3000;3200,
BS,BS_EQ,Equity,2023-04,-2774004.490000,3000;3200,
BS,BS_EQ,Equity,2023-05,-3167840.920000,3000;3200,
BS,BS_EQ,Equity,2023-06,-3613758.450000,3000;3200,
BS,BS_EQ,Equity,2023-07,-4039932.390000,3000;3200,
BS,BS_EQ,Equity,2023-08,-4452178.020000,3000;3200,
BS,BS_EQ,Equity,2023-09,-4890584.620000,3000;3200,
BS,BS_EQ,Equity,2023-10,-5363327.640000,3000;3200,
BS,BS_EQ,Equity,2023-11,-5829627.570000,3000;3200,
BS,BS_EQ,Equity,2023-12,-6337113.780000,3000;3200,
BS,BS_EQ,Equity,2024-01,-6750886.340000,3000;3200,
BS,BS_EQ,Equity,2024-02,-7158999.380000,3000;3200,
BS,BS_EQ,Equity,2024-03,-7591637.040000,3000;3200,
BS,BS_EQ,Equity,2024-04,-8051962.090000,3000;3200,
BS,BS_EQ,Equity,2024-05,-8496288.510000,3000;3200,
BS,BS_EQ,Equity,2024-06,-8977571.440000,3000;3200,
BS,BS_EQ,Equity,2024-07,-9475717.360000,3000;3200,
BS,BS_EQ,Equity,2024-08,-9974260.010000,3000;3200,
BS,BS_EQ,Equity,2024-09,-10471677.570000,3000;3200,
BS,BS_EQ,Equity,2024-10,-11041635.940000,3000;3200,
BS,BS_EQ,Equity,2024-11,-11614842.180000,3000;3200,
BS,BS_EQ,Equity,2024-12,-12147624.330000,3000;3200,
BS,BS_EQ,Equity,2025-01,-12668649.800000,3000;3200,
BS,BS_EQ,Equity,2025-02,-13183721.580000,3000;3200,
BS,BS_EQ,Equity,2025-03,-13702205.850000,3000;3200,
BS,BS_EQ,Equity,2025-04,-14242568.360000,3000;3200,
BS,BS_EQ,Equity,2025-05,-14779175.760000,3000;3200,
BS,BS_EQ,Equity,2025-06,-15390187.270000,3000;3200,
BS,BS_EQ,Equity,2025-07,-15956930.570000,3000;3200,
BS,BS_EQ,Equity,2025-08,-16536059.630000,3000;3200,
BS,BS_EQ,Equity,2025-09,-17113462.410000,3000;3200,
BS,BS_EQ,Equity,2025-10,-17800379.290000,3000;3200,
BS,BS_EQ,Equity,2025-11,-18472589.000000,3000;3200,
BS,BS_EQ,Equity,2025-12,-19181179.370000,3000;3200,
