period,account_code,account_name,statement_section,amount
2023-01,6045,Practice Manager Payroll Taxes,Operating Expense,516.54
2023-01,6050,Employee Benefits - Health,Operating Expense,5681.89
2023-01,6055,Employee Benefits - Retirement,Operating Expense,2066.14
2023-01,6060,Rent - Main Clinic,Operating Expense,12913.39
2023-01,6065,Rent - Satellite Operatories,Operating Expense,2582.68
2023-01,6070,Common Area Maintenance,Operating Expense,2324.41
2023-01,6075,Property Insurance,Operating Expense,1033.07
2023-01,6080,Utilities - Electric and Gas,Operating Expense,1291.34
2023-01,6085,Utilities - Water and Waste,Operating Expense,516.54
2023-01,6090,Telephone and Internet,Operating Expense,516.54
2023-01,6095,Software Subscriptions - PMS,Operating Expense,1291.34
2023-01,6100,Software Subscriptions - Imaging,Operating Expense,774.8
2023-01,6105,IT Support and Cybersecurity,Operating Expense,1033.07
2023-01,6110,Marketing - Digital Ads,Operating Expense,2582.68
2023-01,6115,Marketing - Community Outreach,Operating Expense,774.8
2023-01,6120,Professional Fees - Legal,Operating Expense,516.54
2023-01,6125,Professional Fees - Accounting,Operating Expense,645.67
2023-01,6130,Bank Charges and ACH Fees,Operating Expense,335.75
2023-01,6135,Office Supplies,Operating Expense,335.75
2023-01,6140,Repairs and Maintenance - Equipment,Operating Expense,1033.07
2023-01,6145,Repairs and Maintenance - Facility,Operating Expense,903.94
2023-01,6150,Travel and Training,Operating Expense,464.88
2023-01,6155,Licenses and Continuing Education,Operating Expense,645.67
2023-01,6160,Insurance - Malpractice,Operating Expense,903.94
2023-01,6165,Insurance - General Liability,Operating Expense,387.4
2023-01,6170,Janitorial Services,Operating Expense,464.88
2023-01,6175,Waste Disposal - Biohazard,Operating Expense,387.4
2023-01,6180,Dues and Subscriptions,Operating Expense,258.27
2023-01,6185,Patient Financing Fees,Operating Expense,645.67
2023-01,6190,Bad Debt Expense,Operating Expense,1291.34
2023-01,6195,Depreciation Expense,Operating Expense,4132.28
2023-01,6200,Amortization Expense,Operating Expense,387.4
2023-01,6205,Interest Expense,Operating Expense,903.94
2023-01,6210,State Franchise and Local Taxes,Operating Expense,19544.26
2023-01,6215,Recruiting Expense,Operating Expense,361.57
2023-01,6220,Postage and Courier,Operating Expense,206.61
2023-01,6225,Security Monitoring,Operating Expense,258.27
2023-01,6230,Clinical Consulting Fees,Operating Expense,464.88
2023-01,6235,Temporary Staffing,Operating Expense,1162.2
2023-01,6240,Software Implementation Costs,Operating Expense,309.92
2023-01,6245,Smallwares and Breakroom,Operating Expense,232.44
2023-02,1000,Operating Cash,Balance Sheet,146714.51
2023-02,1005,Payroll Cash,Balance Sheet,23883.76
2023-02,1100,Accounts Receivable - Insurance,Balance Sheet,20487.41
2023-02,1105,Accounts Receivable - Patient,Balance Sheet,10095.24
2023-02,1115,Allowance for Doubtful Accounts,Balance Sheet,-890.76
2023-02,1200,Inventory - Clinical Supplies,Balance Sheet,30329.28
2023-02,1210,Prepaid Insurance,Balance Sheet,696.33
2023-02,1215,Prepaid Rent,Balance Sheet,642.76
2023-02,1300,Dental Equipment - Gross,Balance Sheet,1462936.8
2023-02,1310,Leasehold Improvements - Gross,Balance Sheet,896638.68
2023-02,1320,Accumulated Depreciation,Balance Sheet,-988269.67
2023-02,1325,ROU Asset - Operating Leases,Balance Sheet,409600.0
2023-02,2000,Accounts Payable - Trade,Balance Sheet,-54248.7
2023-02,2005,Accounts Payable - Labs,Balance Sheet,-27946.3
2023-02,2010,Accrued Payroll and Taxes,Balance Sheet,-18652.84
2023-02,2025,Accrued Other Expenses,Balance Sheet,-17218.0
2023-02,2035,Patient Prepayments,Balance Sheet,-6826.56
2023-02,2040,Deferred Revenue - Membership Plan,Balance Sheet,-4467.07
2023-02,2055,Line of Credit,Balance Sheet,-503444.3
2023-02,2060,Long-term Debt,Balance Sheet,-708817.78
2023-02,3000,Common Stock,Balance Sheet,-100000.0
2023-02,3005,Additional Paid-in Capital,Balance Sheet,-120000.0
2023-02,3010,Retained Earnings,Balance Sheet,-451242.79
2023-02,3015,Owner Distributions,Balance Sheet,0.0
2023-02,3045,Current Year Earnings,Balance Sheet,176888.13
2023-02,4000,Hygiene Preventive Revenue,Revenue,-80742.58
2023-02,4005,Hygiene Periodontal Revenue,Revenue,-37265.8
2023-02,4010,Periodic Exams Revenue,Revenue,-24843.87
2023-02,4015,New Patient Exams Revenue,Revenue,-18632.9
2023-02,4020,Restorative Fillings Revenue,Revenue,-49687.74
2023-02,4025,Crown and Bridge Revenue,Revenue,-62109.67
2023-02,4030,Endodontic Revenue,Revenue,-37265.8
2023-02,4035,Oral Surgery Revenue,Revenue,-37265.8
2023-02,4040,Invisalign Revenue,Revenue,-49687.74
2023-02,4045,Whitening Revenue,Revenue,-12421.93
2023-02,4050,Pediatric Dentistry Revenue,Revenue,-18632.9
2023-02,4055,Implant Placement Revenue,Revenue,-43476.77
2023-02,4060,Implant Restoration Revenue,Revenue,-24843.87
2023-02,4065,Prosthodontic Revenue,Revenue,-18632.9
2023-02,4070,Emergency Visit Revenue,Revenue,-15527.42
2023-02,4075,Radiography and Diagnostics Revenue,Revenue,-15527.42
2023-02,4080,Night Guard and Appliance Revenue,Revenue,-6210.97
2023-02,4085,Other Clinical Revenue,Revenue,-6210.97
2023-02,4090,Insurance Reimbursements True-up,Revenue,-9316.45
2023-02,4091,Dental Membership Plan Revenue,Revenue,-7453.16
2023-02,4092,Sedation Adjunct Revenue,Revenue,-6210.97
2023-02,4093,Cancellation and Late Fee Revenue,Revenue,-3105.48
2023-02,4094,Capitation Revenue,Revenue,-6210.97
2023-02,4095,Contractual Adjustments and Write-offs,Revenue,-40322.69
2023-02,4096,Lab Cost Reimbursements,Revenue,-4968.77
2023-02,5000,Dental Consumable Supplies,COGS,15520.35
2023-02,5005,Sterilization Supplies,COGS,7760.17
2023-02,5010,Anesthesia and Sedation Drugs,COGS,5173.45
2023-02,5015,Implant Components,COGS,10346.9
2023-02,5020,Endodontic Materials,COGS,5173.45
2023-02,5025,Oral Surgery Supplies,COGS,5173.45
2023-02,5030,Orthodontic Aligner Lab Fees,COGS,10346.9
2023-02,5035,Crown and Bridge Lab Fees,COGS,15520.35
2023-02,5040,Denture and Prosthetic Lab Fees,COGS,7760.17
2023-02,5045,Whitening Material Costs,COGS,2586.72
2023-02,5050,PPE and Infection Control,COGS,6466.81
2023-02,5055,Clinical Laundry and Linen,COGS,2586.72
2023-02,5060,Merchant Processing - Patient Payments,COGS,5173.45
2023-02,5065,Small Clinical Instruments,COGS,3880.09
2023-02,5070,Disposable Chairside Kits,COGS,3880.09
2023-02,5075,Temporary Crown Materials,COGS,2586.72
2023-02,5080,Nitrous Oxide and Gas Supplies,COGS,2586.72
2023-02,5085,Intraoral Scanner Tips,COGS,2586.72
2023-02,5090,Surgical Sutures and Dressings,COGS,2586.72
2023-02,5095,Lab Shipping and Handling,COGS,3880.09
2023-02,6000,Dentist Payroll,Operating Expense,62022.49
2023-02,6005,Dentist Payroll Taxes,Operating Expense,5168.54
2023-02,6010,Hygienist Payroll,Operating Expense,43932.6
2023-02,6015,Hygienist Payroll Taxes,Operating Expense,3617.98
2023-02,6020,Dental Assistant Payroll,Operating Expense,38764.06
2023-02,6025,Dental Assistant Payroll Taxes,Operating Expense,3101.12
2023-02,6030,Front Desk Payroll,Operating Expense,23258.43
2023-02,6035,Front Desk Payroll Taxes,Operating Expense,1808.99
2023-02,6040,Practice Manager Payroll,Operating Expense,12404.5
2023-02,6045,Practice Manager Payroll Taxes,Operating Expense,1033.71
2023-02,6050,Employee Benefits - Health,Operating Expense,11370.79
2023-02,6055,Employee Benefits - Retirement,Operating Expense,4134.83
2023-02,6060,Rent - Main Clinic,Operating Expense,25842.71
2023-02,6065,Rent - Satellite Operatories,Operating Expense,5168.54
2023-02,6070,Common Area Maintenance,Operating Expense,4651.69
2023-02,6075,Property Insurance,Operating Expense,2067.42
2023-02,6080,Utilities - Electric and Gas,Operating Expense,2584.27
2023-02,6085,Utilities - Water and Waste,Operating Expense,1033.71
2023-02,6090,Telephone and Internet,Operating Expense,1033.71
2023-02,6095,Software Subscriptions - PMS,Operating Expense,2584.27
2023-02,6100,Software Subscriptions - Imaging,Operating Expense,1550.56
2023-02,6105,IT Support and Cybersecurity,Operating Expense,2067.42
2023-02,6110,Marketing - Digital Ads,Operating Expense,5168.54
2023-02,6115,Marketing - Community Outreach,Operating Expense,1550.56
2023-02,6120,Professional Fees - Legal,Operating Expense,1033.71
2023-02,6125,Professional Fees - Accounting,Operating Expense,1292.14
2023-02,6130,Bank Charges and ACH Fees,Operating Expense,671.91
2023-02,6135,Office Supplies,Operating Expense,671.91
2023-02,6140,Repairs and Maintenance - Equipment,Operating Expense,2067.42
2023-02,6145,Repairs and Maintenance - Facility,Operating Expense,1808.99
2023-02,6150,Travel and Training,Operating Expense,930.34
2023-02,6155,Licenses and Continuing Education,Operating Expense,1292.14
2023-02,6160,Insurance - Malpractice,Operating Expense,1808.99
2023-02,6165,Insurance - General Liability,Operating Expense,775.28
2023-02,6170,Janitorial Services,Operating Expense,930.34
2023-02,6175,Waste Disposal - Biohazard,Operating Expense,775.28
2023-02,6180,Dues and Subscriptions,Operating Expense,516.85
2023-02,6185,Patient Financing Fees,Operating Expense,1292.14
2023-02,6190,Bad Debt Expense,Operating Expense,2584.27
2023-02,6195,Depreciation Expense,Operating Expense,8269.67
2023-02,6200,Amortization Expense,Operating Expense,775.28
2023-02,6205,Interest Expense,Operating Expense,1808.99
2023-02,6210,State Franchise and Local Taxes,Operating Expense,36888.78
2023-02,6215,Recruiting Expense,Operating Expense,723.6
2023-02,6220,Postage and Courier,Operating Expense,413.48
2023-02,6225,Security Monitoring,Operating Expense,516.85
2023-02,6230,Clinical Consulting Fees,Operating Expense,930.34
2023-02,6235,Temporary Staffing,Operating Expense,2325.84
2023-02,6240,Software Implementation Costs,Operating Expense,620.22
2023-02,6245,Smallwares and Breakroom,Operating Expense,465.17
2023-03,1000,Operating Cash,Balance Sheet,200534.36
2023-03,1005,Payroll Cash,Balance Sheet,32645.13
2023-03,1100,Accounts Receivable - Insurance,Balance Sheet,26731.91
2023-03,1105,Accounts Receivable - Patient,Balance Sheet,13172.25
2023-03,1115,Allowance for Doubtful Accounts,Balance Sheet,-1162.26
2023-03,1200,Inventory - Clinical Supplies,Balance Sheet,33924.05
2023-03,1210,Prepaid Insurance,Balance Sheet,825.38
2023-03,1215,Prepaid Rent,Balance Sheet,761.89
2023-03,1300,Dental Equipment - Gross,Balance Sheet,1468520.65
2023-03,1310,Leasehold Improvements - Gross,Balance Sheet,900061.05
2023-03,1320,Accumulated Depreciation,Balance Sheet,-993036.03
2023-03,1325,ROU Asset - Operating Leases,Balance Sheet,404400.0
2023-03,2000,Accounts Payable - Trade,Balance Sheet,-77865.49
2023-03,2005,Accounts Payable - Labs,Balance Sheet,-40112.53
2023-03,2010,Accrued Payroll and Taxes,Balance Sheet,-19077.64
2023-03,2025,Accrued Other Expenses,Balance Sheet,-17610.13
2023-03,2035,Patient Prepayments,Balance Sheet,-9453.83
2023-03,2040,Deferred Revenue - Membership Plan,Balance Sheet,-4851.58
2023-03,2055,Line of Credit,Balance Sheet,-503444.3
2023-03,2060,Long-term Debt,Balance Sheet,-702906.19
2023-03,3000,Common Stock,Balance Sheet,-100000.0
2023-03,3005,Additional Paid-in Capital,Balance Sheet,-120000.0
2023-03,3010,Retained Earnings,Balance Sheet,-495936.61
2023-03,3015,Owner Distributions,Balance Sheet,3879.93
2023-03,3045,Current Year Earnings,Balance Sheet,271064.9
2023-03,4000,Hygiene Preventive Revenue,Revenue,-125972.81
2023-03,4005,Hygiene Periodontal Revenue,Revenue,-58141.3
2023-03,4010,Periodic Exams Revenue,Revenue,-38760.86
2023-03,4015,New Patient Exams Revenue,Revenue,-29070.65
2023-03,4020,Restorative Fillings Revenue,Revenue,-77521.73
2023-03,4025,Crown and Bridge Revenue,Revenue,-96902.16
2023-03,4030,Endodontic Revenue,Revenue,-58141.3
2023-03,4035,Oral Surgery Revenue,Revenue,-58141.3
2023-03,4040,Invisalign Revenue,Revenue,-77521.73
2023-03,4045,Whitening Revenue,Revenue,-19380.43
2023-03,4050,Pediatric Dentistry Revenue,Revenue,-29070.65
2023-03,4055,Implant Placement Revenue,Revenue,-67831.51
2023-03,4060,Implant Restoration Revenue,Revenue,-38760.86
2023-03,4065,Prosthodontic Revenue,Revenue,-29070.65
2023-03,4070,Emergency Visit Revenue,Revenue,-24225.54
2023-03,4075,Radiography and Diagnostics Revenue,Revenue,-24225.54
2023-03,4080,Night Guard and Appliance Revenue,Revenue,-9690.22
2023-03,4085,Other Clinical Revenue,Revenue,-9690.22
2023-03,4090,Insurance Reimbursements True-up,Revenue,-14535.32
2023-03,4091,Dental Membership Plan Revenue,Revenue,-11628.26
2023-03,4092,Sedation Adjunct Revenue,Revenue,-9690.22
2023-03,4093,Cancellation and Late Fee Revenue,Revenue,-4845.11
2023-03,4094,Capitation Revenue,Revenue,-9690.22
2023-03,4095,Contractual Adjustments and Write-offs,Revenue,-65064.16
2023-03,4096,Lab Cost Reimbursements,Revenue,-7752.17
2023-03,5000,Dental Consumable Supplies,COGS,24926.63
2023-03,5005,Sterilization Supplies,COGS,12463.32
2023-03,5010,Anesthesia and Sedation Drugs,COGS,8308.88
2023-03,5015,Implant Components,COGS,16617.75
2023-03,5020,Endodontic Materials,COGS,8308.88
2023-03,5025,Oral Surgery Supplies,COGS,8308.88
2023-03,5030,Orthodontic Aligner Lab Fees,COGS,16617.75
2023-03,5035,Crown and Bridge Lab Fees,COGS,24926.63
2023-03,5040,Denture and Prosthetic Lab Fees,COGS,12463.32
2023-03,5045,Whitening Material Costs,COGS,4154.44
2023-03,5050,PPE and Infection Control,COGS,10386.1
2023-03,5055,Clinical Laundry and Linen,COGS,4154.44
2023-03,5060,Merchant Processing - Patient Payments,COGS,8308.88
2023-03,5065,Small Clinical Instruments,COGS,6231.66
2023-03,5070,Disposable Chairside Kits,COGS,6231.66
2023-03,5075,Temporary Crown Materials,COGS,4154.44
2023-03,5080,Nitrous Oxide and Gas Supplies,COGS,4154.44
2023-03,5085,Intraoral Scanner Tips,COGS,4154.44
2023-03,5090,Surgical Sutures and Dressings,COGS,4154.44
2023-03,5095,Lab Shipping and Handling,COGS,6231.66
2023-03,6000,Dentist Payroll,Operating Expense,97770.2
2023-03,6005,Dentist Payroll Taxes,Operating Expense,8147.52
2023-03,6010,Hygienist Payroll,Operating Expense,69253.89
2023-03,6015,Hygienist Payroll Taxes,Operating Expense,5703.26
2023-03,6020,Dental Assistant Payroll,Operating Expense,61106.37
2023-03,6025,Dental Assistant Payroll Taxes,Operating Expense,4888.51
2023-03,6030,Front Desk Payroll,Operating Expense,36663.82
2023-03,6035,Front Desk Payroll Taxes,Operating Expense,2851.63
2023-03,6040,Practice Manager Payroll,Operating Expense,19554.04
2023-03,6045,Practice Manager Payroll Taxes,Operating Expense,1629.5
2023-03,6050,Employee Benefits - Health,Operating Expense,17924.54
2023-03,6055,Employee Benefits - Retirement,Operating Expense,6518.01
2023-03,6060,Rent - Main Clinic,Operating Expense,40737.58
2023-03,6065,Rent - Satellite Operatories,Operating Expense,8147.52
2023-03,6070,Common Area Maintenance,Operating Expense,7332.76
2023-03,6075,Property Insurance,Operating Expense,3259.01
2023-03,6080,Utilities - Electric and Gas,Operating Expense,4073.76
2023-03,6085,Utilities - Water and Waste,Operating Expense,1629.5
2023-03,6090,Telephone and Internet,Operating Expense,1629.5
2023-03,6095,Software Subscriptions - PMS,Operating Expense,4073.76
2023-03,6100,Software Subscriptions - Imaging,Operating Expense,2444.25
2023-03,6105,IT Support and Cybersecurity,Operating Expense,3259.01
2023-03,6110,Marketing - Digital Ads,Operating Expense,8147.52
2023-03,6115,Marketing - Community Outreach,Operating Expense,2444.25
2023-03,6120,Professional Fees - Legal,Operating Expense,1629.5
2023-03,6125,Professional Fees - Accounting,Operating Expense,2036.88
2023-03,6130,Bank Charges and ACH Fees,Operating Expense,1059.18
2023-03,6135,Office Supplies,Operating Expense,1059.18
2023-03,6140,Repairs and Maintenance - Equipment,Operating Expense,3259.01
2023-03,6145,Repairs and Maintenance - Facility,Operating Expense,2851.63
2023-03,6150,Travel and Training,Operating Expense,1466.55
2023-03,6155,Licenses and Continuing Education,Operating Expense,2036.88
2023-03,6160,Insurance - Malpractice,Operating Expense,2851.63
2023-03,6165,Insurance - General Liability,Operating Expense,1222.13
2023-03,6170,Janitorial Services,Operating Expense,1466.55
2023-03,6175,Waste Disposal - Biohazard,Operating Expense,1222.13
2023-03,6180,Dues and Subscriptions,Operating Expense,814.75
2023-03,6185,Patient Financing Fees,Operating Expense,2036.88
2023-03,6190,Bad Debt Expense,Operating Expense,4073.76
2023-03,6195,Depreciation Expense,Operating Expense,13036.03
2023-03,6200,Amortization Expense,Operating Expense,1222.13
2023-03,6205,Interest Expense,Operating Expense,2851.63
2023-03,6210,State Franchise and Local Taxes,Operating Expense,54164.12
2023-03,6215,Recruiting Expense,Operating Expense,1140.65
2023-03,6220,Postage and Courier,Operating Expense,651.8
2023-03,6225,Security Monitoring,Operating Expense,814.75
2023-03,6230,Clinical Consulting Fees,Operating Expense,1466.55
2023-03,6235,Temporary Staffing,Operating Expense,3666.38
2023-03,6240,Software Implementation Costs,Operating Expense,977.7
2023-03,6245,Smallwares and Breakroom,Operating Expense,733.28
2023-04,1000,Operating Cash,Balance Sheet,238805.81
2023-04,1005,Payroll Cash,Balance Sheet,38875.37
2023-04,1100,Accounts Receivable - Insurance,Balance Sheet,22840.51
2023-04,1105,Accounts Receivable - Patient,Balance Sheet,11254.75
2023-04,1115,Allowance for Doubtful Accounts,Balance Sheet,-993.07
2023-04,1200,Inventory - Clinical Supplies,Balance Sheet,27267.18
2023-04,1210,Prepaid Insurance,Balance Sheet,671.07
2023-04,1215,Prepaid Rent,Balance Sheet,619.45
2023-04,1300,Dental Equipment - Gross,Balance Sheet,1469028.13
2023-04,1310,Leasehold Improvements - Gross,Balance Sheet,900372.08
2023-04,1320,Accumulated Depreciation,Balance Sheet,-997285.75
2023-04,1325,ROU Asset - Operating Leases,Balance Sheet,399200.0
2023-04,2000,Accounts Payable - Trade,Balance Sheet,-59541.51
2023-04,2005,Accounts Payable - Labs,Balance Sheet,-30672.9
2023-04,2010,Accrued Payroll and Taxes,Balance Sheet,-19042.97
2023-04,2025,Accrued Other Expenses,Balance Sheet,-17578.13
2023-04,2035,Patient Prepayments,Balance Sheet,-8782.95
2023-04,2040,Deferred Revenue - Membership Plan,Balance Sheet,-7132.9
2023-04,2055,Line of Credit,Balance Sheet,-503444.3
2023-04,2060,Long-term Debt,Balance Sheet,-697221.64
2023-04,3000,Common Stock,Balance Sheet,-100000.0
2023-04,3005,Additional Paid-in Capital,Balance Sheet,-120000.0
2023-04,3010,Retained Earnings,Balance Sheet,-551118.16
2023-04,3015,Owner Distributions,Balance Sheet,3879.93
2023-04,3045,Current Year Earnings,Balance Sheet,366386.58
2023-04,4000,Hygiene Preventive Revenue,Revenue,-168708.67
2023-04,4005,Hygiene Periodontal Revenue,Revenue,-77865.54
2023-04,4010,Periodic Exams Revenue,Revenue,-51910.36
2023-04,4015,New Patient Exams Revenue,Revenue,-38932.77
2023-04,4020,Restorative Fillings Revenue,Revenue,-103820.72
2023-04,4025,Crown and Bridge Revenue,Revenue,-129775.9
2023-04,4030,Endodontic Revenue,Revenue,-77865.54
2023-04,4035,Oral Surgery Revenue,Revenue,-77865.54
2023-04,4040,Invisalign Revenue,Revenue,-103820.72
2023-04,4045,Whitening Revenue,Revenue,-25955.18
2023-04,4050,Pediatric Dentistry Revenue,Revenue,-38932.77
2023-04,4055,Implant Placement Revenue,Revenue,-90843.13
2023-04,4060,Implant Restoration Revenue,Revenue,-51910.36
2023-04,4065,Prosthodontic Revenue,Revenue,-38932.77
2023-04,4070,Emergency Visit Revenue,Revenue,-32443.98
2023-04,4075,Radiography and Diagnostics Revenue,Revenue,-32443.98
2023-04,4080,Night Guard and Appliance Revenue,Revenue,-12977.59
2023-04,4085,Other Clinical Revenue,Revenue,-12977.59
2023-04,4090,Insurance Reimbursements True-up,Revenue,-19466.39
2023-04,4091,Dental Membership Plan Revenue,Revenue,-15573.11
2023-04,4092,Sedation Adjunct Revenue,Revenue,-12977.59
2023-04,4093,Cancellation and Late Fee Revenue,Revenue,-6488.8
2023-04,4094,Capitation Revenue,Revenue,-12977.59
2023-04,4095,Contractual Adjustments and Write-offs,Revenue,-85134.24
2023-04,4096,Lab Cost Reimbursements,Revenue,-10382.07
2023-04,5000,Dental Consumable Supplies,COGS,33156.4
2023-04,5005,Sterilization Supplies,COGS,16578.2
2023-04,5010,Anesthesia and Sedation Drugs,COGS,11052.13
2023-04,5015,Implant Components,COGS,22104.27
2023-04,5020,Endodontic Materials,COGS,11052.13
2023-04,5025,Oral Surgery Supplies,COGS,11052.13
2023-04,5030,Orthodontic Aligner Lab Fees,COGS,22104.27
2023-04,5035,Crown and Bridge Lab Fees,COGS,33156.4
2023-04,5040,Denture and Prosthetic Lab Fees,COGS,16578.2
2023-04,5045,Whitening Material Costs,COGS,5526.07
2023-04,5050,PPE and Infection Control,COGS,13815.17
2023-04,5055,Clinical Laundry and Linen,COGS,5526.07
2023-04,5060,Merchant Processing - Patient Payments,COGS,11052.13
2023-04,5065,Small Clinical Instruments,COGS,8289.1
2023-04,5070,Disposable Chairside Kits,COGS,8289.1
2023-04,5075,Temporary Crown Materials,COGS,5526.07
2023-04,5080,Nitrous Oxide and Gas Supplies,COGS,5526.07
2023-04,5085,Intraoral Scanner Tips,COGS,5526.07
2023-04,5090,Surgical Sutures and Dressings,COGS,5526.07
2023-04,5095,Lab Shipping and Handling,COGS,8289.1
2023-04,6000,Dentist Payroll,Operating Expense,129643.11
2023-04,6005,Dentist Payroll Taxes,Operating Expense,10803.59
2023-04,6010,Hygienist Payroll,Operating Expense,91830.54
2023-04,6015,Hygienist Payroll Taxes,Operating Expense,7562.51
2023-04,6020,Dental Assistant Payroll,Operating Expense,81026.94
2023-04,6025,Dental Assistant Payroll Taxes,Operating Expense,6482.16
2023-04,6030,Front Desk Payroll,Operating Expense,48616.17
2023-04,6035,Front Desk Payroll Taxes,Operating Expense,3781.26
2023-04,6040,Practice Manager Payroll,Operating Expense,25928.62
2023-04,6045,Practice Manager Payroll Taxes,Operating Expense,2160.72
2023-04,6050,Employee Benefits - Health,Operating Expense,23767.9
2023-04,6055,Employee Benefits - Retirement,Operating Expense,8642.87
2023-04,6060,Rent - Main Clinic,Operating Expense,54017.96
2023-04,6065,Rent - Satellite Operatories,Operating Expense,10803.59
2023-04,6070,Common Area Maintenance,Operating Expense,9723.23
2023-04,6075,Property Insurance,Operating Expense,4321.44
2023-04,6080,Utilities - Electric and Gas,Operating Expense,5401.8
